naslov	opis
Izgubljena cesta (1997)	After a bizarre encounter at a party, a jazz saxophonist is framed for the murder of his wife and sent to prison, where he inexplicably morphs into a young mechanic and begins leading a new life.
Usodna nesreca (2004)	Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption.
G.I. Jane (1997)	A female Senator succeeds in enrolling a woman into Combined Reconnaissance Team training where everyone expects her to fail.
Policaji (1997)	The sheriff of a suburban New Jersey community populated by New York City policemen slowly discovers the town is a front for mob connections and corruption.
Teorija zarote (1997)	A man obsessed with conspiracy theories becomes a target after one of his theories turns out to be true. Unfortunately, in order to save himself, he has to figure out which theory it is.
Desperate Measures (1998)	San Francisco police officer Frank Connor is in a frantic search for a compatible bone marrow donor for his gravely ill son. There's only one catch: the potential donor is convicted ... See full summary »
One Eight Seven (1997)	After surviving a brutal attack (Instrument used was a board with nails in it) by a student, teacher Trevor Garfield moves from New York to Los Angeles.
Na robu jutrisnjega dne (2014)	A military officer is brought into an alien war against an extraterrestrial enemy who can reset the day and know the future. When this officer is enabled with the same power, he teams up with a Special Forces warrior to try and end the war.
Zbogom dekleta (1997)	Police hunting for a serial killer are helped when a victim manages to escape for the first time.
Igra prestolov (2011– )	Several noble families fight for control of the mythical land of Westeros.
U Turn (1997)	A young punk drifter heading to Vegas to pay off his gambling debt before the Russian mafia kills him, is forced to stop in a Arizona town where everything that can go wrong, does go wrong for him.
How to Be a Player (1997)	A playboy gets the tables turned on him when a party is arranged with all of the women he has been two-timing are in attendance.
Playing God (1997)	Stripped of his medical license after performing an operation while high on amphetamines, famed LA surgeon Dr Eugene Sands abandons his former life only to find himself crossing paths with ... See full summary »
The House of Yes (1997)	A mentally unbalanced young woman (who thinks she's Jackie Kennedy) flips into a murderous rage when her brother returns home to reveal he's engaged.
Bean (1997)	The bumbling Mr. Bean travels to America when he is given the responsibility of bringing a highly valuable painting to a Los Angeles museum.
Noro mesto (1997)	A disgruntled security guard holds a school trip group hostage, while a news reporter forms a bond with him.
Vroce noci (1997)	The story of a young man's adventures in the Californian pornography industry of the late 1970s and early 1980s.
Critical Care (1997)	Werner Ernst is a young hospital resident who becomes embroiled in a legal battle between two half-sisters who are fighting over the care of their comatose father. But are they really ... See full summary »
Moz, ki je premalo vedel (1997)	Wallace Ritchie is mistaken for a spy and must stop a plot to assassinate international leaders at a banquet.
Osmi potnik - Ponovno vstajenje (1997)	200 years after her death, Ellen Ripley is revived as a powerful human/Alien hybrid clone who must continue her war against the Aliens.
The Apostle (1997)	After his happy life spins out of control, a preacher from Texas changes his name, goes to Louisiana and starts preaching on the radio.
Deconstructing Harry (1997)	Suffering from writer's block and eagerly awaiting his writing award, Harry Block remembers events from his past and scenes from his best-selling books as characters, real and fictional, come back to haunt him.
Jackie Brown (1997)	A flight attendant becomes a key figure in a plot between the police and an arms dealer.
Pasji dnevi (1997)	Shortly before an election, a spin-doctor and a Hollywood producer join efforts to fabricate a war in order to cover up a presidential sex scandal.
Desperate Measures (1998)	San Francisco police officer Frank Connor is in a frantic search for a compatible bone marrow donor for his gravely ill son. There's only one catch: the potential donor is convicted ... See full summary »
Dez za ubijanje (1998)	Set during a massive flood started by a dam accident in a small town, Tom (Christian Slater) is an armored truck guard who gets robbed by Jim ('Morgan Freeman'). Tom gets away with all the ... See full summary »
Fallen (1998)	Homicide detective John Hobbes witnesses the execution of serial killer Edgar Reese. Soon after the execution the killings start again, and they are very similar to Reese's style.
The Prophecy II (1998)	Gabriel returns to try to destroy the human race he despises so much, with the help of a suicidal teen and the opposition of the angel Daniel.
Spice Girls (1997)	World famous pop group The Spice Girls zip around London in their luxurious double decker tour bus having various adventures and performing for their fans.
Deep Rising (1998)	A group of heavily armed hijackers board a luxury ocean liner in the South Pacific Ocean to loot it, only to do battle with a series of large-sized, tentacled, man-eating sea creatures who have taken over the ship first.
Porociva se (1998)	Robbie, the singer and Julia, the waitress are both engaged to be married but to the wrong people. Fortune intervenes to help them discover each other.
Sfera (1998)	A spaceship is discovered under three hundred years' worth of coral growth at the bottom of the ocean.
Klient (1994)	A young boy who witnessed the suicide of a mafia lawyer hires an attorney to protect him when the district attorney tries to use him to take down a mob family.
Let nad kukavicjim gnezdom (1975)	Upon admittance to a mental institution, a brash rebel rallies the patients to take on the oppressive head nurse.
Spawn (1997)	A mercenary is killed, but comes back from Hell as a reluctant soldier of the Devil.
The Assignment (1997)	An American naval officer is recruited for an operation to eliminate his lookalike, the infamous terrorist Carlos The Jackal.
Wonderland (2013– )	The lives of the residents living in a city apartment block in Sydney.
The Mob (1951)	Police detective Damico, outwitted by mob killer Blackie Clay, is nominally suspended; actually he goes undercover (as Tim Flynn, ex-con longshoreman) to find Clay and expose the waterfront... See full summary »
Blues Brothers 2000 (1998)	Elwood must reunite the old band, with a few new members, and go on another "Mission from God."
Nenadna smrt (1995)	A disgraced former fireman takes on a group of terrorists holding the Vice President and others hostage during the seventh game of the NHL Stanley Cup finals.
Ace Ventura 2 - Klic narave (1995)	Pet detective Ace Ventura comes out of retirement to investigate the disappearance of a rare white bat, the symbol of an African tribe.
Powder (1995)	A young bald albino boy with unique powers shakes up the rural community he lives in.
Nevarna srca (1995)	An ex-Marine turned teacher struggles to connect with her students in an inner city school.
Nimas pojma (1995)	A rich high school student tries to boost a new pupil's popularity, but reckons without affairs of the heart getting in the way.
Bio-Dome (1996)	Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year.
Black Sheep (1996)	A gubernatorial candidate hires a wormy special assistant whose only job is to make sure the candidate's well-meaning but incompetent brother doesn't ruin the election.
Mary Reilly (1996)	A housemaid falls in love with Dr. Jekyll and his darkly mysterious counterpart, Mr. Hyde.
Najini mostovi (1995)	Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson, for four days in the 1960s.
Jeffrey (1995)	Jeffrey, a young gay man in New York, decides that sex is too much and decided to become celibate. He immediately meets the man of his dreams and must decide whether or not love is worth ... See full summary »
Dredd (2012)	In a violent, futuristic city where the police have the authority to act as judge, jury and executioner, a cop teams with a trainee to take down a gang that deals the reality-altering drug, SLO-MO.
Mighty Morphin Power Rangers: The Movie (1995)	A giant egg is unearthed at a construction site and soon opened, releasing the terrible Ivan Ooze, who wreaks vengeance on Zordon for imprisoning him millennia ago. With Zordon dying and their powers lost, the Rangers head to a distant planet to find the mystic warrior Dulcea.
Slacipunce (1995)	A young drifter, named Nomi, arrives in Las Vegas to become a dancer and soon sets about clawing and pushing her way to become the top of the Vegas showgirls.
Houseguest (1995)	In hot water with the mob over an unpaid debt, a con man poses as a family friend in an affluent Pennsylvania suburb.
Heavy Weights (1995)	Plump kids are lured into joining a posh fat camp with the promise of quick weight loss and good times, only to find that the facility is a woodland hellhole run by a psycho ex-fitness instructor.
Miracle on 34th Street (1947)	When a nice old man who claims to be Santa Claus is institutionalized as insane, a young lawyer decides to defend him by arguing in court that he is the real thing.
Tales from the Crypt: Demon Knight (1995)	A man on the run is hunted by a demon known as the Collector.
Star Trek: Generations (1994)	Captain Picard, with the help of supposedly dead Captain Kirk, must stop a madman willing to murder on a planetary scale in order to enter an energy ribbon.
Muriel se poroci (1994)	Muriel finds life in Porpoise Spit, Australia dull and spends her days alone in her room listening to Abba music and dreaming of her wedding day. Slight problem, Muriel has never had a date... See full summary »
Priscilla, kraljica puscave (1994)	Two drag queens and a transsexual travel across the desert to perform their unique style of cabaret.
Kremenckovi (1994)	In this live-action feature of the cartoon show, Fred Flintstone finally gets the job he's always wanted, but it may just come at a price.
Gola pistola 33 1/3 (1994)	Frank Drebin comes out of retirement to help Police Squad infiltrate a gang of terrorists planning to detonate a bomb at the Academy Awards.
Resnicne lazi (1994)	A fearless, globe-trotting, terrorist-battling secret agent has his life turned upside down when he discovers his wife might be having an affair with a used car salesman.
Pri Addamsovih 2 (1993)	A comical Gothic horror-movie-type family tries to rescue their beloved uncle from his gold-digging new love.
Cas nedolznosti (1993)	A tale of nineteenth-century New York high society in which a young lawyer falls in love with a woman separated from her husband, while he is engaged to the woman's cousin.
Policaj z Beverly Hillsa 3 (1994)	Axel Foley, while investigating a car theft ring, comes across something much bigger than that: the same men who shot his boss are running a counterfeit money ring out of a theme park in Los Angeles.
Cierny krásavec (1994)	The fates of horses, and the people who own and command them, are revealed as Black Beauty narrates the circle of his life.
Fear of a Black Hat (1993)	A mockumentary chronicling the rise and fall of NWH, a not particularly talented--or particularly bright but always controversial--hip-hop group.
Zadnja velika pustolovscina (1993)	With the help of a magic ticket, a young film fan is transported into the fictional world of his favorite action film character.
Moz brez obraza (1993)	Chuck wants to leave home but can't make the grade for boarding school. Then he finds out the disfigured recluse living nearby is an ex-teacher.
Gospa Doubtfire - ocka v krilu (1993)	After a bitter divorce, an actor disguises himself as a female housekeeper to spend time with his children held in custody by his former wife.
Radioland Murders (1994)	In 1939, WBN, a fourth radio network, is about to take to America's airwaves. As if the confusion of the premiere night wasn't enough, Penny Henderson, the owner's secretary, must deal with... See full summary »
Robin Hood - mozje v pajkicah (1993)	A spoof of Robin Hood in general, and 'Robin Hood: Prince of Thieves' in particular.
Serial Mom (1994)	A sweet mother takes a little too much at heart for the defence of her family.
Striking Distance (1993)	Coming from a police family, Tom Hardy ends up fighting his uncle after the murder of his father. Tom believes the killer is another cop, and goes on the record with his allegations. Demoted then to river duty, the killer taunts Tom.
Super Mario Bros. (1993)	Two Brooklyn plumbers, Mario and Luigi must go to another dimension to rescue a princess from the evil dictator King Koopa and stop him from taking over the world.
The Three Musketeers (2011)	The hot-headed young D'Artagnan along with three former legendary but now down on their luck Musketeers must unite and defeat a beautiful double agent and her villainous employer from seizing the French throne and engulfing Europe in war.
The Little Rascals (1994)	Alfalfa is wooing Darla and his "He-Man-Woman-Hating" friends attempt to sabotage the relationship.
Bradyjeva klapa (1995)	The original '70s T.V. family is now placed in the 1990s, where they're even more square and out of place than ever.
Duh (1990)	After being killed during a botched mugging, a man's love for his partner enables him to remain on earth as a ghost.
Batman (1989)	The Dark Knight of Gotham City begins his war on crime with his first major enemy being the clownishly homicidal Joker.
Pinocchio (2015)	A darker version of the classic children's fairy tale of a wooden puppet that transforms into a real living boy.
Misija - Nemogoce (1996)	An American agent, under false suspicion of disloyalty, must discover and expose the real spy without the help of his organization.
Thinner (1996)	A lawyer is cursed by a gypsy to lose weight...and lose weight...and lose weight...
Tajni agent 000 (1996)	General Rancor is threatening to destroy the world with a missile he is hiding at his secret base. But to complete his goal, he needs a special computer chip, invented by the scientist Prof... See full summary »
A Close Shave (1995)	Wallace falls for Wendolene, a wool shop owner, while Gromit is framed for the sheep rustling.

Kingpin (1996)	A star bowler whose career was prematurely "cut off" hopes to ride a new prodigy to success and riches.
Trceni profesor (1996)	Grossly overweight Prof. Sherman Klump, desperate to lose weight takes a special chemical that turns him into the slim but obnoxious Buddy Love.
A Very Brady Sequel (1996)	A man claiming to be Carol Brady's long-lost first husband, Roy Martin, shows up at the suburban Brady residence one evening. An impostor, the man is actually determined to steal the Bradys... See full summary »
Bordello of Blood (1996)	The cryptkeeper returns to tell the story of a funeral parlor that moonlights as a vampire bordello.
My Favorite Year (1982)	A dissolute matinee idol is slated to appear on a live TV variety show.
The Apple Dumpling Gang (1975)	Three orphan children strike gold in 1878 California.
Old Yeller (1957)	A boy brings a yellow dog home. The dog loves the family as much as they love him, but can the love last ?
The Parent Trap (1998)	Identical twins, separated at birth and each raised by one of their biological parents, discover each other for the first time at summer camp and make a plan to bring their wayward parents back together.
Cinderella (2015)	A live-action retelling of the classic fairy tale about a servant step-daughter who wins the heart of a prince.
Mary Poppins (1964)	A magic nanny comes to work for a cold banker's unhappy family.
Alice in Wonderland (2010)	Nineteen-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror.
Romeo and Juliet (1968)	When the now famous "star crossed lovers" of two enemy families meet, forbidden love ensues.
Aladdin and the King of Thieves (1996)	At long last, Aladdin is about to marry the Princess Jasmine. Despite the presence and encouragement of his friends Genie, Carpet, and Abu, he is fearful and anxious. He is most worried as ... See full summary »
E. T. Vesoljcek (1982)	A troubled child summons the courage to help a friendly alien escape Earth and return to his home-world.
Children of the Corn: The Gathering (1996)	All the kids in a town over night become feverish and have convulsions. The next day they start to become evil, change their names for those of kids killed long ago, and then start killing ... See full summary »
Bob Roberts (1992)	A right-wing folk singer becomes a corrupt politician and runs a crooked election campaign. Only one independent muck-raking reporter is trying to stop him.
The Transformers: The Movie (1986)	The Autobots must stop a colossal planet consuming robot who goes after the Autobot Matrix of Leadership. At the same time, they must defend themselves against an all-out attack from the Decepticons.
Ubiti ptico oponasalko (1962)	Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his kids against prejudice.
Harold and Maude (1971)	Young, rich, and obsessed with death, Harold finds himself changed forever when he meets lively septuagenarian Maude at a funeral.
The Day the Earth Stood Still (2008)	A remake of the 1951 classic sci-fi film about an alien visitor and his giant robot counterpart who visit Earth.
Duck Soup (1933)	Rufus T. Firefly is named president/dictator of bankrupt Freedonia and declares war on neighboring Sylvania over the love of wealthy Mrs. Teasdale.
Highlander - Borba nesmrtnikov (1986)	An immortal Scottish swordsman must confront the last of his immortal opponent, a murderously brutal barbarian who lusts for the fabled "Prize".
Fantasia (1940)	A collection of animated interpretations of great works of Western classical music.
Heathers (1988)	A girl who half-heartedly tries to be part of the "in crowd" of her school meets a rebel who teaches her a more devious way to play social politics; killing the popular kids.
Forbidden Planet (1956)	A starship crew goes to investigate the silence of a planet's colony only to find two survivors and a deadly secret that one of them has.
Butch Cassidy and the Sundance Kid (1969)	Two Western bank/train robbers flee to Bolivia when the law gets too close.
An American Werewolf in London (1981)	Two American college students on a walking tour of Britain are attacked by a werewolf that none of the locals will admit exists.
Amityville 1992: It's About Time (1992)	Jacob Sterling brings home a mysterious clock from the infamous Amityville house, not knowing that it's haunted by demonic spirits.
Amityville 3-D (1983)	A reporter moves into the ominous Long Island house to debunk it of the recent supernatural events and becomes besieged by the evil manifestations which are connected to a hell-spawn demon lurking in the basement.
Amityville: A New Generation (1993)	An old mirror from the haunted Long Island house finds its way into a photographer's family where the evil soon manifests itself to cause more terror and mayhem.
Amityville II: The Possession (1982)	A family moves into their new home, which proves to be evil, resulting in the demonic possession of the teenage son. Only the local priest can save him.
The Amityville Horror (2005)	A family is terrorized by demonic forces after moving into a home that was the site of a grisly mass-murder.
The Amityville Curse (1989)	Five people spend the night in an abandoned house, the Amityville haunted house, and soon find themselves terrorized by assorted ghosts, venomous insects and ghostly apparitions.
The Birds (1963)	A wealthy San Francisco socialite pursues a potential boyfriend to a small Northern California town that slowly takes a turn for the bizarre when birds of all kinds suddenly begin to attack people there in increasing numbers and with increasing viciousness.
The Blob (1988)	A strange lifeform consumes everything in its path as it grows and grows.
Tatovi teles (1993)	A teenage girl and her father discover alien clones are replacing humans on a remote U.S. military base in Alabama.
Burnt Offerings (1976)	Haunted house chiller from Dan Curtis has Oliver Reed and Karen Black as summer caretakers moving into gothic house with their young son. The catch? The house rejuvenates a part of itself ... See full summary »
Carrie (2013)	A reimagining of the classic horror tale about Carrie White, a shy girl outcast by her peers and sheltered by her deeply religious mother, who unleashes telekinetic terror on her small town after being pushed too far at her senior prom.
The Omen (1976)	Mysterious deaths surround an American ambassador. Could the child that he is raising actually be the anti-christ? The devil's own son?
Star Trek: The Motion Picture (1979)	When an alien spacecraft of enormous power is spotted approaching Earth, Admiral Kirk resumes command of the Starship Enterprise in order to intercept, examine and hopefully stop the intruder.
Star Trek V: The Final Frontier (1989)	Captain Kirk and his crew must deal with Mr. Spock's long-lost half-brother who hijacks the Enterprise for an obsessive search for God at the center of the galaxy.
Grease (1978)	Good girl Sandy and greaser Danny fell in love over the summer. But when they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance?
Zrelo 2 (1978)	Police chief Brody must protect the citizens of Amity after a second monstrous shark begins terrorizing the waters.
Zrelo 3 (1983)	The sons of police chief Brody must protect civilians at a Sea World theme park after a 35-foot shark becomes trapped in the park with them.
Bastard Out of Carolina (1996)	Difficult tale of poor, struggling South Carolinian mother & daughter, who each face painful choices with their resolve and pride. Bone, the eldest daughter, and Anney her tired mother, ... See full summary »
Prvi udarec (1996)	This installment of Chan's Police Story series has our hero trying to locate a missing nuclear warhead.
Beverly Hills Ninja (1997)	An unlikely man raised by ninjas, goes against a counterfeiter with the help of the criminal's girlfriend.
Willy 3 (1997)	A teenage Jesse and old friend Randolph try to foil an illegal whaler threatening Willy and his pregnant mate.
Nixon (1995)	A biographical story of former U.S. president Richard Milhous Nixon, from his days as a young boy to his eventual presidency which ended in shame.
Joci, ljubljena dezela (1995)	A South-African preacher goes to search for his wayward son who has committed a crime in the big city.
The Crossing Guard (1995)	Freddie Gale is a seedy jeweler who has sworn to kill the drunk driver who killed his little girl.

Kot voda za cokolado (1992)	This movie is about how life used to be in Mexico. It is a love story between Pedro and Tita, and why they coudn't get married because Tita's mother wanted her oldest daughter to get ... See full summary »
The Secret of Roan Inish (1994)	10-year-old Fiona is sent to live with her grandparents in a small fishing village in Donegal, Ireland. She soon learns the local legend that an ancestor of hers married a Selkie - a seal ... See full summary »
Vanya on 42nd Street (1994)	New York actors rehearse Chekhov's "Uncle Vanya" in a dilapidated theatre.
The Jungle Book (2016)	An orphan boy is raised in the jungle with the help of a pack of wolves, a bear, and a black panther.
Red Rock West (1993)	When a promised job for Texan Michael fails to materialise in Wyoming, Mike is mistaken by Wayne to be the hitman he hired to kill his unfaithful wife, Suzanne. Mike takes full advantage of... See full summary »
A Bronx Tale (1993)	A father becomes worried when a local gangster befriends his son in the Bronx in the 1960s.
Rudy (1993)	Rudy has always been told that he was too small to play college football. But he is determined to overcome the odds and fulfill his dream of playing for Notre Dame.
Kratke zgodbe (1993)	The day-to-day lives of a number of suburban Los Angeles residents.
Tombstone (1993)	A successful lawman's plans to retire anonymously in Tombstone, Arizona, are disrupted by the kind of outlaws he was famous for eliminating.
Courage Under Fire (1996)	A US Army officer, despondent about a deadly mistake he made, investigates a female chopper commander's worthiness for the Medal of Honor.
Zmajevo srce (1996)	The last dragon and a disillusioned dragonslaying knight must cooperate to stop an evil king who was given partial immortality.
James and the Giant Peach (1996)	An orphan with terrible aunts for guardians, befriends human like bugs who live inside a giant peach, who take the boy on a journey to New York City.
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)	An insane general triggers a path to nuclear holocaust that a war room full of politicians and generals frantically try to stop.
Trainspotting (1996)	Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.
Klub vrazjih babnic (1996)	Reunited by the death of a college friend, three divorced women seek revenge on the husbands who left them for younger women.
Matilda (1996)	Story of a wonderful little girl, who happens to be a genius, and her wonderful teacher vs. the worst parents ever and the worst school principal imaginable.
The Philadelphia Story (1940)	When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself.
Vertigo (1958)	A retired San Francisco detective suffering from acrophobia investigates the strange activities of an old friend's wife, all the while becoming dangerously obsessed with her.
Sever-severozahod (1959)	A hapless New York advertising executive is mistaken for a government agent by a group of foreign spies, and is pursued across the country while he looks for a way to survive.
Apartma (1960)	A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.
Some Like It Hot (1959)	When two musicians witness a mob hit, they flee the state in an all female band disguised as women, but further complications set in.
Casablanca (1942)	Set in unoccupied Africa during the early days of World War II: An American expatriate meets a former lover, with unforeseen complications.
The Maltese Falcon (1941)	A private detective takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette.
My Fair Lady (1964)	A misogynistic and snobbish phonetics professor agrees to a wager that he can take a flower girl and make her presentable in high society.

Roman Holiday (1953)	A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.
Sunset Blvd. (1950)	A hack screenwriter writes a screenplay for a former silent-film star who has faded into Hollywood obscurity.
Notorious (2009)	The life and death story of Notorious B.I.G. (a.k.a. Christopher Wallace), who came straight out of Brooklyn to take the world of rap music by storm.
To Catch a Thief (1955)	When a reformed jewel thief is suspected of returning to his former occupation, he must ferret out the real thief in order to prove his innocence.
The Adventures of Robin Hood (1938)	When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence, a Saxon lord fights back as the outlaw leader of a rebel guerrilla army.
Vzhodno od raja (1955)	In the Salinas Valley, in and around World War I, Cal Trask feels he must compete against overwhelming odds with his brother Aron for the love of their father Adam. Cal is frustrated at ... See full summary »
The Thin Man (1934)	Nick and Nora Charles, a former detective and his rich, playful wife, investigate a murder case mostly for the fun of it.
His Girl Friday (1940)	A newspaper editor uses every trick in the book to keep his ace reporter ex-wife from remarrying.
Okoli sveta v 80 dneh (2004)	A bet pits a British inventor, a Chinese thief, and a French artist on a worldwide adventure that they can circle the globe in 80 days.
It's a Wonderful Life (1946)	An angel helps a compassionate but despairingly frustrated businessman by showing what life would have been like if he never existed.
Bringing Up Baby (1938)	While trying to secure a $1 million donation for his museum, a befuddled paleontologist is pursued by a flighty and often irritating heiress and her pet leopard "Baby."
The African Queen (1951)	In Africa during WWI, a gin-swilling riverboat captain is persuaded by a strait-laced missionary to use his boat to attack an enemy warship.
Cat on a Hot Tin Roof (1958)	Brick, an alcoholic ex-football player, drinks his days away and resists the affections of his wife, Maggie. His reunion with his father, Big Daddy, who is dying of cancer, jogs a host of memories and revelations for both father and son.
Fly Away Home (1996)	A father and daughter decide to attempt to lead a flock of orphaned Canada Geese south by air.
Dumbo (1941)	Ridiculed because of his enormous ears, a young circus elephant is assisted by a mouse to achieve his full potential.
Bananas (1971)	When a bumbling New Yorker is dumped by his activist girlfriend, he travels to a tiny Latin American nation and becomes involved in its latest rebellion.
Politicna kuhinja (1972)	Bill McKay is a candidate for the U.S. Senate from California. He has no hope of winning, so he is willing to tweak the establishment.
Bonnie and Clyde (1967)	A somewhat romanticized account of the career of the notoriously violent bank robbing couple and their gang.
Dial M for Murder (1954)	An ex-tennis pro carries out a plot to murder his wife. When things go wrong, he improvises a brilliant plan B.
Rebel Without a Cause (1955)	A rebellious young man with a troubled past comes to a new town, finding friends and enemies.
Tramvaj Pozelenje (1951)	Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.
Ljudstvo proti Larryu Flyntu (1996)	A partially idealized film of the controversial pornography publisher and how he became a defender of free speech for all people.
My Left Foot: The Story of Christy Brown (1989)	Christy Brown, born with cerebral palsy, learns to paint and write with his only controllable limb - his left foot.
The Magnificent Seven See full cast and crew »	Seven gun men in the old west gradually come together to help a poor village against savage thieves.
Lawrence Arabski (1962)	A flamboyant and controversial British military figure and his conflicted loyalties during his World War I service in the Middle East.
Der Himmel über Berlin (1987)	An angel tires of overseeing human activity and wishes to become human when he falls in love with a mortal.
The Third Man (1949)	Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, black-market opportunist Harry Lime.
Annie Hall (1977)	Neurotic New York comedian Alvy Singer falls in love with the ditsy Annie Hall.
Das Boot (1981)	The claustrophobic world of a WWII German U-boat; boredom, filth, and sheer terror.
Local Hero (1983)	An American oil company sends a man to Scotland to buy up an entire village where they want to build a refinery. But things don't go as expected.
Thor (2011)	The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders.
Miller's Crossing (1990)	Tom Regan, an advisor to a Prohibition-era crime boss, tries to keep the peace between warring mobs but gets caught in divided loyalties.
The Treasure of the Sierra Madre (1948)	Fred Dobbs and Bob Curtin, two Americans searching for work in Mexico, convince an old prospector to help them mine for gold in the Sierra Madre Mountains.
The Great Escape (1963)	Allied P.O.W.s plan for several hundred of their number to escape from a German camp during World War II.
Lovec na jelene (1978)	An in-depth examination of the ways in which the U.S. Vietnam war impacts and disrupts the lives of people in a small industrial town in Pennsylvania.
Down by Law (1986)	The story of three different men in a Louisiana prison and their eventual journey.
Cool Hand Luke (1967)	A man refuses to conform to life in a rural prison.
Veliki diktator (1940)	Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
The Big Sleep (1946)	Private detective Philip Marlowe is hired by a rich family. Before the complex case is over, he's seen murder, blackmail, and what might be love.
Ben Hur (1959)	When a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge.
Gandhi (1982)	The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.
Texas Killing Fields (2011)	In the Texas bayous, a local homicide detective teams up with a cop from New York City to investigate a series of unsolved murders.
Mitt liv som hund (1985)	A boy and his brother don't get along well. In order to let their ill mother rest, they're separated and sent each one with their relatives.
The Man Who Would Be King (1975)	Two British soldiers in India decide to resign from the Army and set themselves up as deities in Kafiristan--a land where no white man has set foot since Alexander.
Sijaj (1996)	Pianist David Helfgott, driven by his father and teachers, has a breakdown. Years later he returns to the piano, to popular if not critical acclaim.
Kamasutra (1996)	Two girlhood friends become sexual rivals at maturity.
The Daytrippers (1996)	When a happily married woman discovers a love letter written by her husband to an unknown party, she enlists her dysfunctional family to discover the truth.
Traveller (1997)	A young man, Pat, visits the clan of gypsy-like grifters (Irish Travellers) in rural North Carolina from whom he is descended. He is at first rejected, but cousin Bokky takes him on as an ... See full summary »
Group Sex (2010)	A group therapy for sex addicts.
Ponette (1996)	An extremely captivating movie on how a little girl copes with her mother's death. She withdraws from all the people around her, waiting for her mother to come back. She tries waiting, and ... See full summary »
Moj mali Idaho (1991)	Two best friends living on the streets of Portland as hustlers embark on a journey of self discovery and find their relationship stumbling along the way.
Anastazija (1997)	The last surviving child of the Russian Royal Family joins two con men to reunite with her grandmother, the Dowager Empress, while the undead Rasputin seeks her death.
Mouse Hunt See full cast and crew »	Add a Plot
Zmeda na postnem vlaku (1995)	A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.
Smrtonosni spopad (1995)	Three unknowing martial artists are summoned to a mysterious island to compete in a tournament whose outcome will decide the fate of the world.
Pocahontas (1995)	An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth-century Virginia.
Les Misérables (2012)	In 19th-century France, Jean Valjean, who for decades has been hunted by the ruthless policeman Javert after breaking parole, agrees to care for a factory worker's daughter. The decision changes their lives for ever.
Ne zaljubi se, ko si mrtev (1995)	Five different criminals face imminent death after botching a job quite badly.
Vampire in Brooklyn (1995)	Maximillian is the only survivor from a race of vampires on a Caribbean Island, and as a vampire, he must find a mate to keep the line from ending. He knows that a child had been born to a ... See full summary »
Zlomljena puscica (1996)	Terrorists steal nuclear warheads from the U.S. military but don't count on a pilot and park ranger spoiling their plans.
The Young Poisoner's Handbook (1995)	This film is based on a true story about a British teenager who allegedly poisoned family, friends, and co-workers. Graham is highly intelligent, but completely amoral. He becomes ... See full summary »
The Neverending Story III (1994)	A young boy must restore order when a group of bullies steal the magical book that acts as a portal between Earth and the imaginary world of Fantasia.
Rob Roy (1995)	In the highlands of Scotland in the 1700s, Rob Roy tries to lead his small town to a better future, by borrowing money from the local nobility to buy cattle to herd to market. When the ... See full summary »
Umri pokoncno brez oklevanja (1995)	John McClane and a Harlem store owner are targeted by German terrorist Simon Gruber in New York City, where he plans to rob the Federal Reserve Building.
Lord of Illusions (1995)	During a routine case in L.A., NY private investigator Harry D'Amour stumbles over members of a fanatic cult, who are waiting for the resurrection of their leader Nix. 13 years ago, Nix was... See full summary »
Tuja vrsta (1995)	A group of scientists try to track down and trap a killer alien seductress before she successfully mates with a human.
Sprehod v oblakih (1995)	After returning from the war, Paul and a young woman meet on a bus as she's headed home from college to help with the grape harvest and face her Old World domineering dad. The woman has not... See full summary »
